gene	cell_type	percent_variance_unique	percent_variance_all_composition	raw_logFC	raw_FDR
KB-1471A8.1	endothelial	3.85106413066314	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KB-1471A8.1	fibroblast	4.69317383728103	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KB-1471A8.1	immune	1.36045695416338	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KB-1471A8.1	muscle	1.11944033949594	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KB-1471A8.1	other_parenchymal	1.73876344248688	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KB-1471A8.1	thyroid_epithelial	0.201300236162826	14.9228138415308	-2.48425499028763	7.21470368634527e-146
KCNIP4	endothelial	0.0333620397899511	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCNIP4	fibroblast	0.550473123681309	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCNIP4	immune	5.03272225636756	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCNIP4	muscle	0.0144089715805417	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCNIP4	other_parenchymal	0.0758995633013741	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCNIP4	thyroid_epithelial	0.666377518808775	6.88596127458717	-2.74838143035404	1.82578275346914e-199
KCTD16	endothelial	0.16878787492821	5.31981875980215	-4.06571457225836	8.26185935358338e-130
KCTD16	fibroblast	1.99514356714207	5.31981875980215	-4.06571457225836	8.26185935358338e-130
KCTD16	immune	2.37677957701973	5.31981875980215	-4.06571457225836	8.26185935358338e-130
KCTD16	muscle	0.00570778599396294	5.31981875980215	-4.06571457225836	8.26185935358338e-130
KCTD16	other_parenchymal	0.0570593341292222	5.31981875980215	-4.06571457225836	8.26185935358338e-130
KCTD16	thyroid_epithelial	0.123253688475081	5.31981875980215	-4.06571457225836	8.26185935358338e-130
LAYN	endothelial	9.93492778262307	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LAYN	fibroblast	4.46365239417878	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LAYN	immune	0.467295843630129	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LAYN	muscle	0.14520636573131	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LAYN	other_parenchymal	0.857115100620687	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LAYN	thyroid_epithelial	0.697002240969711	23.3695734361514	-2.26582905240519	5.61324460578188e-160
LINGO2	endothelial	5.86233972123356	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LINGO2	fibroblast	0.111037581078743	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LINGO2	immune	0.157302653132337	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LINGO2	muscle	0.115909276023815	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LINGO2	other_parenchymal	1.74902755984518	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LINGO2	thyroid_epithelial	1.05704637472218	11.5353355557557	-5.66810448550964	1.59655856160518e-125
LRP1B	endothelial	8.3466682815318	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP1B	fibroblast	1.36211158164227	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP1B	immune	0.0901733738986768	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP1B	muscle	0.539354093240714	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP1B	other_parenchymal	0.536264308265271	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP1B	thyroid_epithelial	0.058705715386498	13.1500466866026	-6.00227706085878	7.69502085962206e-195
LRP4	endothelial	1.85579149901984	4.80262716033296	4.25926168489532	1.8667756418946e-131
LRP4	fibroblast	1.30557017719211	4.80262716033296	4.25926168489532	1.8667756418946e-131
LRP4	immune	2.76221238599752	4.80262716033296	4.25926168489532	1.8667756418946e-131
LRP4	muscle	0.314861486385206	4.80262716033296	4.25926168489532	1.8667756418946e-131
LRP4	other_parenchymal	0.00391679852160011	4.80262716033296	4.25926168489532	1.8667756418946e-131
LRP4	thyroid_epithelial	0.10242464966232	4.80262716033296	4.25926168489532	1.8667756418946e-131
MAPK4	endothelial	2.96400628992841	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MAPK4	fibroblast	1.28209567125329	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MAPK4	immune	0.0931324385625859	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MAPK4	muscle	2.19552070071046	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MAPK4	other_parenchymal	0.521340646191418	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MAPK4	thyroid_epithelial	0.124178457886387	7.95242823619585	-4.69695900922725	1.34002065438961e-192
MET	endothelial	16.7701744940167	32.9403797611702	2.64009498436841	9.19363487612843e-125
MET	fibroblast	2.18881004632219	32.9403797611702	2.64009498436841	9.19363487612843e-125
MET	immune	0.296744482351953	32.9403797611702	2.64009498436841	9.19363487612843e-125
MET	muscle	0.192245369622179	32.9403797611702	2.64009498436841	9.19363487612843e-125
MET	other_parenchymal	0.584020799757923	32.9403797611702	2.64009498436841	9.19363487612843e-125
MET	thyroid_epithelial	4.10907771529123	32.9403797611702	2.64009498436841	9.19363487612843e-125
MIR4709	endothelial	0.0178678283843709	9.56492698432445	2.79629392722508	9.89689733718241e-163
MIR4709	fibroblast	0.0581676096477929	9.56492698432445	2.79629392722508	9.89689733718241e-163
MIR4709	immune	0.380766668171792	9.56492698432445	2.79629392722508	9.89689733718241e-163
MIR4709	muscle	1.49755995106234	9.56492698432445	2.79629392722508	9.89689733718241e-163
MIR4709	other_parenchymal	3.69914883688717	9.56492698432445	2.79629392722508	9.89689733718241e-163
MIR4709	thyroid_epithelial	0.804424187858911	9.56492698432445	2.79629392722508	9.89689733718241e-163
MMRN1	endothelial	3.73732308339232	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MMRN1	fibroblast	6.98824824509403	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MMRN1	immune	0.165027865452262	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MMRN1	muscle	0.0737130780043546	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MMRN1	other_parenchymal	0.203315050524682	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MMRN1	thyroid_epithelial	0.154121682541214	15.0768744054252	-3.84488933050044	2.28142674961648e-125
MPPED2	endothelial	18.803447503567	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPPED2	fibroblast	1.67948624338633	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPPED2	immune	1.34355587767865	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPPED2	muscle	0.018377717053784	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPPED2	other_parenchymal	1.40350312811348	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPPED2	thyroid_epithelial	0.107507013975231	31.6984840253244	-3.82834369863448	9.35111300671188e-146
MPZL2	endothelial	6.93440722512001	17.187129779153	2.52359668850727	5.25464409912223e-135
MPZL2	fibroblast	2.34931542425815	17.187129779153	2.52359668850727	5.25464409912223e-135
MPZL2	immune	0.722740045463216	17.187129779153	2.52359668850727	5.25464409912223e-135
MPZL2	muscle	0.201380947325373	17.187129779153	2.52359668850727	5.25464409912223e-135
MPZL2	other_parenchymal	0.0154941575633689	17.187129779153	2.52359668850727	5.25464409912223e-135
