cell_type	sample	estimate	method	status
MicroenvironmentScore	GTEX-WFG8-0426-SM-3GILD	0.16200398907299	xcell	formal_relative_enrichment
Adipocytes	GTEX-1212Z-0426-SM-5FQT6	0.000401507025320009	xcell	formal_relative_enrichment
Astrocytes	GTEX-1212Z-0426-SM-5FQT6	1.39727289998196e-17	xcell	formal_relative_enrichment
B-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Basophils	GTEX-1212Z-0426-SM-5FQT6	0.0816199928221484	xcell	formal_relative_enrichment
CD4+ T-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
CD4+ Tcm	GTEX-1212Z-0426-SM-5FQT6	0.0236405714101124	xcell	formal_relative_enrichment
CD4+ Tem	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	GTEX-1212Z-0426-SM-5FQT6	1.67602360079123e-19	xcell	formal_relative_enrichment
CD4+ naive T-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
CD8+ T-cells	GTEX-1212Z-0426-SM-5FQT6	7.74320583208453e-19	xcell	formal_relative_enrichment
CD8+ Tcm	GTEX-1212Z-0426-SM-5FQT6	6.21664630348243e-19	xcell	formal_relative_enrichment
CD8+ Tem	GTEX-1212Z-0426-SM-5FQT6	1.21736173100098e-17	xcell	formal_relative_enrichment
CD8+ naive T-cells	GTEX-1212Z-0426-SM-5FQT6	0.00536530082089511	xcell	formal_relative_enrichment
CLP	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
CMP	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Chondrocytes	GTEX-1212Z-0426-SM-5FQT6	0.01819508903907	xcell	formal_relative_enrichment
Class-switched memory B-cells	GTEX-1212Z-0426-SM-5FQT6	1.73318247898731e-17	xcell	formal_relative_enrichment
DC	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Endothelial cells	GTEX-1212Z-0426-SM-5FQT6	0.0688943713082437	xcell	formal_relative_enrichment
Eosinophils	GTEX-1212Z-0426-SM-5FQT6	0.00314347190703162	xcell	formal_relative_enrichment
Epithelial cells	GTEX-1212Z-0426-SM-5FQT6	0.0563834760766982	xcell	formal_relative_enrichment
Erythrocytes	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Fibroblasts	GTEX-1212Z-0426-SM-5FQT6	0.0755713409424158	xcell	formal_relative_enrichment
GMP	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
HSC	GTEX-1212Z-0426-SM-5FQT6	0.418122646268446	xcell	formal_relative_enrichment
Hepatocytes	GTEX-1212Z-0426-SM-5FQT6	0.00404586812432014	xcell	formal_relative_enrichment
Keratinocytes	GTEX-1212Z-0426-SM-5FQT6	0.00919334047206933	xcell	formal_relative_enrichment
MEP	GTEX-1212Z-0426-SM-5FQT6	0.0145514547401809	xcell	formal_relative_enrichment
MPP	GTEX-1212Z-0426-SM-5FQT6	5.64689864153134e-19	xcell	formal_relative_enrichment
MSC	GTEX-1212Z-0426-SM-5FQT6	0.0889770191106036	xcell	formal_relative_enrichment
Macrophages	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Macrophages M1	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Macrophages M2	GTEX-1212Z-0426-SM-5FQT6	0.00044442813543297	xcell	formal_relative_enrichment
Mast cells	GTEX-1212Z-0426-SM-5FQT6	0.0223303525442635	xcell	formal_relative_enrichment
Megakaryocytes	GTEX-1212Z-0426-SM-5FQT6	0.00971782103218198	xcell	formal_relative_enrichment
Melanocytes	GTEX-1212Z-0426-SM-5FQT6	0.00494126504314546	xcell	formal_relative_enrichment
Memory B-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Mesangial cells	GTEX-1212Z-0426-SM-5FQT6	0.00485722421590005	xcell	formal_relative_enrichment
Monocytes	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Myocytes	GTEX-1212Z-0426-SM-5FQT6	0.0139601197642515	xcell	formal_relative_enrichment
NK cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
NKT	GTEX-1212Z-0426-SM-5FQT6	0.00483722846456982	xcell	formal_relative_enrichment
Neurons	GTEX-1212Z-0426-SM-5FQT6	0.0271052512735868	xcell	formal_relative_enrichment
Neutrophils	GTEX-1212Z-0426-SM-5FQT6	9.046145735047e-20	xcell	formal_relative_enrichment
Osteoblast	GTEX-1212Z-0426-SM-5FQT6	0.00746316359722422	xcell	formal_relative_enrichment
Pericytes	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
Plasma cells	GTEX-1212Z-0426-SM-5FQT6	0.0138995866521589	xcell	formal_relative_enrichment
Platelets	GTEX-1212Z-0426-SM-5FQT6	2.39351075793745e-18	xcell	formal_relative_enrichment
Preadipocytes	GTEX-1212Z-0426-SM-5FQT6	0.0709174127122175	xcell	formal_relative_enrichment
Sebocytes	GTEX-1212Z-0426-SM-5FQT6	0.00243769693899663	xcell	formal_relative_enrichment
Skeletal muscle	GTEX-1212Z-0426-SM-5FQT6	0.0010844033893789	xcell	formal_relative_enrichment
Smooth muscle	GTEX-1212Z-0426-SM-5FQT6	0.310836692221365	xcell	formal_relative_enrichment
Tgd cells	GTEX-1212Z-0426-SM-5FQT6	3.06031339380476e-18	xcell	formal_relative_enrichment
Th1 cells	GTEX-1212Z-0426-SM-5FQT6	0.00946473528878812	xcell	formal_relative_enrichment
Th2 cells	GTEX-1212Z-0426-SM-5FQT6	0.0299332513689671	xcell	formal_relative_enrichment
Tregs	GTEX-1212Z-0426-SM-5FQT6	0.026400696446844	xcell	formal_relative_enrichment
aDC	GTEX-1212Z-0426-SM-5FQT6	0.000287916239648008	xcell	formal_relative_enrichment
cDC	GTEX-1212Z-0426-SM-5FQT6	0.0283855003088648	xcell	formal_relative_enrichment
iDC	GTEX-1212Z-0426-SM-5FQT6	0.000190117112125289	xcell	formal_relative_enrichment
ly Endothelial cells	GTEX-1212Z-0426-SM-5FQT6	0.021636436790366	xcell	formal_relative_enrichment
mv Endothelial cells	GTEX-1212Z-0426-SM-5FQT6	0.0342591007357988	xcell	formal_relative_enrichment
naive B-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
pDC	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
pro B-cells	GTEX-1212Z-0426-SM-5FQT6	0	xcell	formal_relative_enrichment
ImmuneScore	GTEX-1212Z-0426-SM-5FQT6	0.0169825496341968	xcell	formal_relative_enrichment
StromaScore	GTEX-1212Z-0426-SM-5FQT6	0.0724336096379898	xcell	formal_relative_enrichment
MicroenvironmentScore	GTEX-1212Z-0426-SM-5FQT6	0.0894161592721865	xcell	formal_relative_enrichment
Adipocytes	GTEX-ZVP2-0426-SM-57WC2	0.0133033299056383	xcell	formal_relative_enrichment
Astrocytes	GTEX-ZVP2-0426-SM-57WC2	1.92719951360687e-18	xcell	formal_relative_enrichment
B-cells	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Basophils	GTEX-ZVP2-0426-SM-57WC2	0.01577888705334	xcell	formal_relative_enrichment
CD4+ T-cells	GTEX-ZVP2-0426-SM-57WC2	9.25304029806712e-18	xcell	formal_relative_enrichment
CD4+ Tcm	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
CD4+ Tem	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	GTEX-ZVP2-0426-SM-57WC2	1.50599867123699e-18	xcell	formal_relative_enrichment
CD4+ naive T-cells	GTEX-ZVP2-0426-SM-57WC2	9.96169054870203e-18	xcell	formal_relative_enrichment
CD8+ T-cells	GTEX-ZVP2-0426-SM-57WC2	7.11301712712026e-18	xcell	formal_relative_enrichment
CD8+ Tcm	GTEX-ZVP2-0426-SM-57WC2	1.28215618711955e-19	xcell	formal_relative_enrichment
CD8+ Tem	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
CD8+ naive T-cells	GTEX-ZVP2-0426-SM-57WC2	0.00483332004163223	xcell	formal_relative_enrichment
CLP	GTEX-ZVP2-0426-SM-57WC2	0.0150568237855883	xcell	formal_relative_enrichment
CMP	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Chondrocytes	GTEX-ZVP2-0426-SM-57WC2	0.0376396620339236	xcell	formal_relative_enrichment
Class-switched memory B-cells	GTEX-ZVP2-0426-SM-57WC2	1.88864895369568e-18	xcell	formal_relative_enrichment
DC	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Endothelial cells	GTEX-ZVP2-0426-SM-57WC2	0.121701748089378	xcell	formal_relative_enrichment
Eosinophils	GTEX-ZVP2-0426-SM-57WC2	7.78384275383543e-19	xcell	formal_relative_enrichment
Epithelial cells	GTEX-ZVP2-0426-SM-57WC2	0.0544960577730712	xcell	formal_relative_enrichment
Erythrocytes	GTEX-ZVP2-0426-SM-57WC2	3.41935438374885e-20	xcell	formal_relative_enrichment
Fibroblasts	GTEX-ZVP2-0426-SM-57WC2	0.161235409033633	xcell	formal_relative_enrichment
GMP	GTEX-ZVP2-0426-SM-57WC2	3.26764821579664e-19	xcell	formal_relative_enrichment
HSC	GTEX-ZVP2-0426-SM-57WC2	0.512332628710342	xcell	formal_relative_enrichment
Hepatocytes	GTEX-ZVP2-0426-SM-57WC2	0.00663755574685436	xcell	formal_relative_enrichment
Keratinocytes	GTEX-ZVP2-0426-SM-57WC2	0.00932821281563842	xcell	formal_relative_enrichment
MEP	GTEX-ZVP2-0426-SM-57WC2	0.0258187852408623	xcell	formal_relative_enrichment
MPP	GTEX-ZVP2-0426-SM-57WC2	1.56502123017201e-18	xcell	formal_relative_enrichment
MSC	GTEX-ZVP2-0426-SM-57WC2	0.0646902937633723	xcell	formal_relative_enrichment
Macrophages	GTEX-ZVP2-0426-SM-57WC2	0.0134871676544379	xcell	formal_relative_enrichment
Macrophages M1	GTEX-ZVP2-0426-SM-57WC2	0.033769519603136	xcell	formal_relative_enrichment
Macrophages M2	GTEX-ZVP2-0426-SM-57WC2	0.0033583538310537	xcell	formal_relative_enrichment
Mast cells	GTEX-ZVP2-0426-SM-57WC2	0.0102713430924223	xcell	formal_relative_enrichment
Megakaryocytes	GTEX-ZVP2-0426-SM-57WC2	0.0129359958182802	xcell	formal_relative_enrichment
Melanocytes	GTEX-ZVP2-0426-SM-57WC2	0.00691515102171701	xcell	formal_relative_enrichment
Memory B-cells	GTEX-ZVP2-0426-SM-57WC2	4.0340576820846e-17	xcell	formal_relative_enrichment
Mesangial cells	GTEX-ZVP2-0426-SM-57WC2	0.0370004295274419	xcell	formal_relative_enrichment
Monocytes	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Myocytes	GTEX-ZVP2-0426-SM-57WC2	0.0185562169827294	xcell	formal_relative_enrichment
NK cells	GTEX-ZVP2-0426-SM-57WC2	3.24898303129388e-17	xcell	formal_relative_enrichment
NKT	GTEX-ZVP2-0426-SM-57WC2	0.0206626243326164	xcell	formal_relative_enrichment
Neurons	GTEX-ZVP2-0426-SM-57WC2	0.0122030112427214	xcell	formal_relative_enrichment
Neutrophils	GTEX-ZVP2-0426-SM-57WC2	2.41805759324476e-21	xcell	formal_relative_enrichment
Osteoblast	GTEX-ZVP2-0426-SM-57WC2	0.0502213479878919	xcell	formal_relative_enrichment
Pericytes	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Plasma cells	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Platelets	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
Preadipocytes	GTEX-ZVP2-0426-SM-57WC2	0.0697902627121361	xcell	formal_relative_enrichment
Sebocytes	GTEX-ZVP2-0426-SM-57WC2	0.00300659907695235	xcell	formal_relative_enrichment
Skeletal muscle	GTEX-ZVP2-0426-SM-57WC2	0.00237818986340951	xcell	formal_relative_enrichment
Smooth muscle	GTEX-ZVP2-0426-SM-57WC2	0.314008916406857	xcell	formal_relative_enrichment
Tgd cells	GTEX-ZVP2-0426-SM-57WC2	3.28060849283354e-18	xcell	formal_relative_enrichment
Th1 cells	GTEX-ZVP2-0426-SM-57WC2	0.0114586108882501	xcell	formal_relative_enrichment
Th2 cells	GTEX-ZVP2-0426-SM-57WC2	0.0414575185111458	xcell	formal_relative_enrichment
Tregs	GTEX-ZVP2-0426-SM-57WC2	3.34053090674669e-19	xcell	formal_relative_enrichment
aDC	GTEX-ZVP2-0426-SM-57WC2	0.160374700828982	xcell	formal_relative_enrichment
cDC	GTEX-ZVP2-0426-SM-57WC2	0.054893981050031	xcell	formal_relative_enrichment
iDC	GTEX-ZVP2-0426-SM-57WC2	0.0758574608113882	xcell	formal_relative_enrichment
ly Endothelial cells	GTEX-ZVP2-0426-SM-57WC2	0.0311681149357961	xcell	formal_relative_enrichment
mv Endothelial cells	GTEX-ZVP2-0426-SM-57WC2	0.0669711671526255	xcell	formal_relative_enrichment
naive B-cells	GTEX-ZVP2-0426-SM-57WC2	1.15028929212008e-17	xcell	formal_relative_enrichment
pDC	GTEX-ZVP2-0426-SM-57WC2	0	xcell	formal_relative_enrichment
pro B-cells	GTEX-ZVP2-0426-SM-57WC2	1.03831292761564e-17	xcell	formal_relative_enrichment
ImmuneScore	GTEX-ZVP2-0426-SM-57WC2	0.0158390071645735	xcell	formal_relative_enrichment
StromaScore	GTEX-ZVP2-0426-SM-57WC2	0.148120243514325	xcell	formal_relative_enrichment
MicroenvironmentScore	GTEX-ZVP2-0426-SM-57WC2	0.163959250678899	xcell	formal_relative_enrichment
Adipocytes	GTEX-ZE7O-1126-SM-57WC8	0.0036897805821564	xcell	formal_relative_enrichment
Astrocytes	GTEX-ZE7O-1126-SM-57WC8	0.0537092606237066	xcell	formal_relative_enrichment
B-cells	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Basophils	GTEX-ZE7O-1126-SM-57WC8	0.0178125505296171	xcell	formal_relative_enrichment
CD4+ T-cells	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
CD4+ Tcm	GTEX-ZE7O-1126-SM-57WC8	0.0233350507658272	xcell	formal_relative_enrichment
CD4+ Tem	GTEX-ZE7O-1126-SM-57WC8	4.45699392479864e-18	xcell	formal_relative_enrichment
CD4+ memory T-cells	GTEX-ZE7O-1126-SM-57WC8	0.00408159286135924	xcell	formal_relative_enrichment
CD4+ naive T-cells	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
CD8+ T-cells	GTEX-ZE7O-1126-SM-57WC8	0.00333763336169281	xcell	formal_relative_enrichment
CD8+ Tcm	GTEX-ZE7O-1126-SM-57WC8	0.0401871790072941	xcell	formal_relative_enrichment
CD8+ Tem	GTEX-ZE7O-1126-SM-57WC8	8.7112147488861e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	GTEX-ZE7O-1126-SM-57WC8	0.00383231628378182	xcell	formal_relative_enrichment
CLP	GTEX-ZE7O-1126-SM-57WC8	0.00724798088596871	xcell	formal_relative_enrichment
CMP	GTEX-ZE7O-1126-SM-57WC8	0.0013818879940281	xcell	formal_relative_enrichment
Chondrocytes	GTEX-ZE7O-1126-SM-57WC8	0.064576489307807	xcell	formal_relative_enrichment
Class-switched memory B-cells	GTEX-ZE7O-1126-SM-57WC8	1.24793352142528e-18	xcell	formal_relative_enrichment
DC	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Endothelial cells	GTEX-ZE7O-1126-SM-57WC8	0.134081679427815	xcell	formal_relative_enrichment
Eosinophils	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Epithelial cells	GTEX-ZE7O-1126-SM-57WC8	0.0164412698824284	xcell	formal_relative_enrichment
Erythrocytes	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Fibroblasts	GTEX-ZE7O-1126-SM-57WC8	0.298216817410196	xcell	formal_relative_enrichment
GMP	GTEX-ZE7O-1126-SM-57WC8	0.00973647079362318	xcell	formal_relative_enrichment
HSC	GTEX-ZE7O-1126-SM-57WC8	0.863611410604792	xcell	formal_relative_enrichment
Hepatocytes	GTEX-ZE7O-1126-SM-57WC8	0.00632052568818353	xcell	formal_relative_enrichment
Keratinocytes	GTEX-ZE7O-1126-SM-57WC8	0.00208717789083711	xcell	formal_relative_enrichment
MEP	GTEX-ZE7O-1126-SM-57WC8	0.0132808531872414	xcell	formal_relative_enrichment
MPP	GTEX-ZE7O-1126-SM-57WC8	6.23484623178427e-19	xcell	formal_relative_enrichment
MSC	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Macrophages	GTEX-ZE7O-1126-SM-57WC8	1.21287669215099e-18	xcell	formal_relative_enrichment
Macrophages M1	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Macrophages M2	GTEX-ZE7O-1126-SM-57WC8	2.36502893599608e-20	xcell	formal_relative_enrichment
Mast cells	GTEX-ZE7O-1126-SM-57WC8	0.00679976866894323	xcell	formal_relative_enrichment
Megakaryocytes	GTEX-ZE7O-1126-SM-57WC8	0.00944218538445453	xcell	formal_relative_enrichment
Melanocytes	GTEX-ZE7O-1126-SM-57WC8	0.0030607902170978	xcell	formal_relative_enrichment
Memory B-cells	GTEX-ZE7O-1126-SM-57WC8	4.1888247806003e-17	xcell	formal_relative_enrichment
Mesangial cells	GTEX-ZE7O-1126-SM-57WC8	0.029909049353195	xcell	formal_relative_enrichment
Monocytes	GTEX-ZE7O-1126-SM-57WC8	1.76424688191851e-17	xcell	formal_relative_enrichment
Myocytes	GTEX-ZE7O-1126-SM-57WC8	0.02004480566205	xcell	formal_relative_enrichment
NK cells	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
NKT	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Neurons	GTEX-ZE7O-1126-SM-57WC8	0.0309065420638647	xcell	formal_relative_enrichment
Neutrophils	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Osteoblast	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Pericytes	GTEX-ZE7O-1126-SM-57WC8	0.0137951324246039	xcell	formal_relative_enrichment
Plasma cells	GTEX-ZE7O-1126-SM-57WC8	4.1931353662815e-19	xcell	formal_relative_enrichment
Platelets	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Preadipocytes	GTEX-ZE7O-1126-SM-57WC8	0.137221831514394	xcell	formal_relative_enrichment
Sebocytes	GTEX-ZE7O-1126-SM-57WC8	0.000394690885602151	xcell	formal_relative_enrichment
Skeletal muscle	GTEX-ZE7O-1126-SM-57WC8	0.00236392935784087	xcell	formal_relative_enrichment
Smooth muscle	GTEX-ZE7O-1126-SM-57WC8	0.33372076392932	xcell	formal_relative_enrichment
Tgd cells	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
Th1 cells	GTEX-ZE7O-1126-SM-57WC8	1.47839760579561e-17	xcell	formal_relative_enrichment
Th2 cells	GTEX-ZE7O-1126-SM-57WC8	0.0653988028089449	xcell	formal_relative_enrichment
Tregs	GTEX-ZE7O-1126-SM-57WC8	0.0330308117851651	xcell	formal_relative_enrichment
aDC	GTEX-ZE7O-1126-SM-57WC8	0.0659085078417108	xcell	formal_relative_enrichment
cDC	GTEX-ZE7O-1126-SM-57WC8	0.0608240791565554	xcell	formal_relative_enrichment
iDC	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
ly Endothelial cells	GTEX-ZE7O-1126-SM-57WC8	0.044365434314934	xcell	formal_relative_enrichment
mv Endothelial cells	GTEX-ZE7O-1126-SM-57WC8	0.069331567877952	xcell	formal_relative_enrichment
naive B-cells	GTEX-ZE7O-1126-SM-57WC8	2.83221966187135e-17	xcell	formal_relative_enrichment
pDC	GTEX-ZE7O-1126-SM-57WC8	0	xcell	formal_relative_enrichment
pro B-cells	GTEX-ZE7O-1126-SM-57WC8	2.31904859834884e-17	xcell	formal_relative_enrichment
ImmuneScore	GTEX-ZE7O-1126-SM-57WC8	0.00675826802042404	xcell	formal_relative_enrichment
StromaScore	GTEX-ZE7O-1126-SM-57WC8	0.217994138710083	xcell	formal_relative_enrichment
MicroenvironmentScore	GTEX-ZE7O-1126-SM-57WC8	0.224752406730507	xcell	formal_relative_enrichment
Adipocytes	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
Astrocytes	GTEX-145ME-0126-SM-5S2QM	9.6308273772377e-19	xcell	formal_relative_enrichment
B-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
Basophils	GTEX-145ME-0126-SM-5S2QM	0.122330752674707	xcell	formal_relative_enrichment
CD4+ T-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CD4+ Tcm	GTEX-145ME-0126-SM-5S2QM	0.0187337053295922	xcell	formal_relative_enrichment
CD4+ Tem	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CD4+ naive T-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CD8+ T-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CD8+ Tcm	GTEX-145ME-0126-SM-5S2QM	6.14481123077627e-18	xcell	formal_relative_enrichment
CD8+ Tem	GTEX-145ME-0126-SM-5S2QM	1.7376552018268e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
CLP	GTEX-145ME-0126-SM-5S2QM	0.020178287081387	xcell	formal_relative_enrichment
CMP	GTEX-145ME-0126-SM-5S2QM	2.30380139290525e-19	xcell	formal_relative_enrichment
Chondrocytes	GTEX-145ME-0126-SM-5S2QM	0.0302305990369939	xcell	formal_relative_enrichment
Class-switched memory B-cells	GTEX-145ME-0126-SM-5S2QM	3.8024521013178e-18	xcell	formal_relative_enrichment
DC	GTEX-145ME-0126-SM-5S2QM	0.0286685115596347	xcell	formal_relative_enrichment
Endothelial cells	GTEX-145ME-0126-SM-5S2QM	0.0773580758332368	xcell	formal_relative_enrichment
Eosinophils	GTEX-145ME-0126-SM-5S2QM	5.04264730920371e-18	xcell	formal_relative_enrichment
Epithelial cells	GTEX-145ME-0126-SM-5S2QM	0.0156611101128831	xcell	formal_relative_enrichment
Erythrocytes	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
Fibroblasts	GTEX-145ME-0126-SM-5S2QM	0.171478059753736	xcell	formal_relative_enrichment
GMP	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
HSC	GTEX-145ME-0126-SM-5S2QM	0.305116207447787	xcell	formal_relative_enrichment
Hepatocytes	GTEX-145ME-0126-SM-5S2QM	0.00523601763141314	xcell	formal_relative_enrichment
Keratinocytes	GTEX-145ME-0126-SM-5S2QM	1.03185306547432e-19	xcell	formal_relative_enrichment
MEP	GTEX-145ME-0126-SM-5S2QM	0.0203347236153441	xcell	formal_relative_enrichment
MPP	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
MSC	GTEX-145ME-0126-SM-5S2QM	0.165020797907526	xcell	formal_relative_enrichment
Macrophages	GTEX-145ME-0126-SM-5S2QM	0.0178358227925196	xcell	formal_relative_enrichment
Macrophages M1	GTEX-145ME-0126-SM-5S2QM	0.0329526316359587	xcell	formal_relative_enrichment
Macrophages M2	GTEX-145ME-0126-SM-5S2QM	0.00146955419930055	xcell	formal_relative_enrichment
Mast cells	GTEX-145ME-0126-SM-5S2QM	0.0193386502046466	xcell	formal_relative_enrichment
Megakaryocytes	GTEX-145ME-0126-SM-5S2QM	0.00395504431513441	xcell	formal_relative_enrichment
Melanocytes	GTEX-145ME-0126-SM-5S2QM	0.00436372004116731	xcell	formal_relative_enrichment
Memory B-cells	GTEX-145ME-0126-SM-5S2QM	1.02850382182159e-17	xcell	formal_relative_enrichment
Mesangial cells	GTEX-145ME-0126-SM-5S2QM	0.00747321720078803	xcell	formal_relative_enrichment
Monocytes	GTEX-145ME-0126-SM-5S2QM	0.0344342859317255	xcell	formal_relative_enrichment
Myocytes	GTEX-145ME-0126-SM-5S2QM	0.013941728097342	xcell	formal_relative_enrichment
NK cells	GTEX-145ME-0126-SM-5S2QM	9.43233872255168e-19	xcell	formal_relative_enrichment
NKT	GTEX-145ME-0126-SM-5S2QM	0.0175844092546183	xcell	formal_relative_enrichment
Neurons	GTEX-145ME-0126-SM-5S2QM	0.00291975667379377	xcell	formal_relative_enrichment
Neutrophils	GTEX-145ME-0126-SM-5S2QM	0.000276347488026588	xcell	formal_relative_enrichment
Osteoblast	GTEX-145ME-0126-SM-5S2QM	0.0364464835219885	xcell	formal_relative_enrichment
Pericytes	GTEX-145ME-0126-SM-5S2QM	0.0136144217991083	xcell	formal_relative_enrichment
Plasma cells	GTEX-145ME-0126-SM-5S2QM	0.0126106278306992	xcell	formal_relative_enrichment
Platelets	GTEX-145ME-0126-SM-5S2QM	0	xcell	formal_relative_enrichment
Preadipocytes	GTEX-145ME-0126-SM-5S2QM	0.0604507246006868	xcell	formal_relative_enrichment
Sebocytes	GTEX-145ME-0126-SM-5S2QM	0.000490127591775022	xcell	formal_relative_enrichment
Skeletal muscle	GTEX-145ME-0126-SM-5S2QM	0.00139498049148234	xcell	formal_relative_enrichment
Smooth muscle	GTEX-145ME-0126-SM-5S2QM	0.165944159959169	xcell	formal_relative_enrichment
Tgd cells	GTEX-145ME-0126-SM-5S2QM	3.43149670914883e-18	xcell	formal_relative_enrichment
Th1 cells	GTEX-145ME-0126-SM-5S2QM	0.0360627659949951	xcell	formal_relative_enrichment
Th2 cells	GTEX-145ME-0126-SM-5S2QM	0.0151556560946628	xcell	formal_relative_enrichment
Tregs	GTEX-145ME-0126-SM-5S2QM	0.0378501027434017	xcell	formal_relative_enrichment
aDC	GTEX-145ME-0126-SM-5S2QM	0.285761472812265	xcell	formal_relative_enrichment
cDC	GTEX-145ME-0126-SM-5S2QM	0.0882528622953991	xcell	formal_relative_enrichment
iDC	GTEX-145ME-0126-SM-5S2QM	0.267240835056664	xcell	formal_relative_enrichment
ly Endothelial cells	GTEX-145ME-0126-SM-5S2QM	0.0189599382964415	xcell	formal_relative_enrichment
mv Endothelial cells	GTEX-145ME-0126-SM-5S2QM	0.0543009613331684	xcell	formal_relative_enrichment
naive B-cells	GTEX-145ME-0126-SM-5S2QM	1.50860320822594e-17	xcell	formal_relative_enrichment
pDC	GTEX-145ME-0126-SM-5S2QM	4.19395529744981e-18	xcell	formal_relative_enrichment
pro B-cells	GTEX-145ME-0126-SM-5S2QM	2.11150930598976e-17	xcell	formal_relative_enrichment
ImmuneScore	GTEX-145ME-0126-SM-5S2QM	0.067035745317702	xcell	formal_relative_enrichment
StromaScore	GTEX-145ME-0126-SM-5S2QM	0.124418067793486	xcell	formal_relative_enrichment
MicroenvironmentScore	GTEX-145ME-0126-SM-5S2QM	0.191453813111188	xcell	formal_relative_enrichment
Adipocytes	GTEX-13FTW-0626-SM-5IFEX	0.00375794089032269	xcell	formal_relative_enrichment
