cell_type	sample	estimate	method	status
MEP	TCGA-EM-A3AQ-01	0.0371183714009718	xcell	formal_relative_enrichment
MPP	TCGA-EM-A3AQ-01	3.7404797572949e-19	xcell	formal_relative_enrichment
MSC	TCGA-EM-A3AQ-01	0.00468738077893981	xcell	formal_relative_enrichment
Macrophages	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
Macrophages M1	TCGA-EM-A3AQ-01	0.00580682929221053	xcell	formal_relative_enrichment
Macrophages M2	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
Mast cells	TCGA-EM-A3AQ-01	0.00949304938732531	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-EM-A3AQ-01	0.00441504724265822	xcell	formal_relative_enrichment
Melanocytes	TCGA-EM-A3AQ-01	0.0156383873094234	xcell	formal_relative_enrichment
Memory B-cells	TCGA-EM-A3AQ-01	3.73767288014032e-17	xcell	formal_relative_enrichment
Mesangial cells	TCGA-EM-A3AQ-01	0.00986967269940092	xcell	formal_relative_enrichment
Monocytes	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
Myocytes	TCGA-EM-A3AQ-01	0.013929259597727	xcell	formal_relative_enrichment
NK cells	TCGA-EM-A3AQ-01	1.42817461325356e-18	xcell	formal_relative_enrichment
NKT	TCGA-EM-A3AQ-01	0.130588872106425	xcell	formal_relative_enrichment
Neurons	TCGA-EM-A3AQ-01	0.000995266458853519	xcell	formal_relative_enrichment
Neutrophils	TCGA-EM-A3AQ-01	1.08298462440425e-18	xcell	formal_relative_enrichment
Osteoblast	TCGA-EM-A3AQ-01	0.0946032553528221	xcell	formal_relative_enrichment
Pericytes	TCGA-EM-A3AQ-01	0.099207383718497	xcell	formal_relative_enrichment
Plasma cells	TCGA-EM-A3AQ-01	0.001837305409503	xcell	formal_relative_enrichment
Platelets	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-EM-A3AQ-01	2.07239947081873e-18	xcell	formal_relative_enrichment
Sebocytes	TCGA-EM-A3AQ-01	0.00493180636531702	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-EM-A3AQ-01	0.00204939374530417	xcell	formal_relative_enrichment
Smooth muscle	TCGA-EM-A3AQ-01	0.141876330794536	xcell	formal_relative_enrichment
Tgd cells	TCGA-EM-A3AQ-01	5.72758558558291e-18	xcell	formal_relative_enrichment
Th1 cells	TCGA-EM-A3AQ-01	0.0217525862639341	xcell	formal_relative_enrichment
Th2 cells	TCGA-EM-A3AQ-01	7.11723861918216e-19	xcell	formal_relative_enrichment
