gene_symbol	logFC	adj.P.Val	t	regulation
RP11-138I1.4	1.96909529569895	9.8287194073494e-124	28.7991284550176	Up
ADORA1	2.55162768817208	1.41273076978557e-123	28.7731304941537	Up
FAM111B	3.62567141669335	1.9693641500147e-123	28.7489581186415	Up
GALE	2.43293178443424	2.03444516033402e-123	28.7465464900742	Up
AC012005.3	5.33293429979527	4.66365082568369e-123	28.6867737217885	Up
ENTPD1	2.55324653097802	8.43454519973548e-123	28.6441989284761	Up
FTH1P20	2.11437631848442	1.3317128398451e-122	28.6112354058323	Up
RXRG	4.58852917946756	1.47388625761248e-122	28.6037721899605	Up
RP11-476D10.1	7.14114941756281	1.53121064702669e-122	28.6010038720878	Up
FTH1P8	2.21687121095753	3.50873206500181e-122	28.541408015479	Up
RPS3AP49	4.9454432411675	9.49068916962591e-122	28.4694983100593	Up
ABCC6P2	4.04209658218132	1.25694567786526e-121	28.4493544860972	Up
CTC-512J14.5	4.12059774705587	1.97320744073494e-121	28.4169014037372	Up
OLA1P1	2.55012869303639	1.49801682812299e-120	28.2709626612402	Up
CLDN9	3.7503818804404	8.78485138463479e-120	28.143900493629	Up
RP11-519G16.5	5.88034695980552	1.44628639853174e-118	27.9416171682437	Up
EIF4BP7	1.74787198540709	2.44634112785274e-118	27.9037388547732	Up
MDK	3.04331726830522	3.22972021892831e-118	27.8836289250052	Up
DCSTAMP	9.28262953149015	5.23247080165106e-118	27.8488305521217	Up
RP11-547C5.1	8.00582209421416	6.67970155343806e-118	27.831281582956	Up
RP11-221N13.4	5.92525017281117	1.40192054245028e-117	27.7778895660042	Up
RP11-641D5.1	1.62583832565287	1.6570033855595e-117	27.7658785478839	Up
ZCCHC12	6.41090119047628	2.16598144126428e-117	27.7463646684442	Up
PLD4	2.71292023169487	2.82278170910866e-117	27.7270288339433	Up
RP11-550F7.1	4.52602297747063	4.55397609889344e-117	27.6925783083472	Up
RP11-624L12.1	5.25150943420389	6.3039888351321e-117	27.6690565230832	Up
SLIT1	4.81707238223253	1.35413253681235e-116	27.6138649349155	Up
LDHAP3	5.42412028289816	1.9688151584043e-116	27.586919155433	Up
DDAH1	1.56702681771636	2.2374447119381e-116	27.5775980024125	Up
UNC5B-AS1	6.37065611239129	2.27625950071023e-116	27.5762938990548	Up
LRRC75A	1.83700825652845	4.39012043651584e-116	27.5288762755813	Up
EEF1A1P19	1.73357692652332	8.78133917621996e-116	27.4789348832151	Up
TNFRSF10C	2.20926864439328	8.9819228648339e-116	27.4772850086557	Up
GRHL3	4.15966854838715	3.55931908451657e-115	27.3780551744623	Up
PTCHD4	2.89490677803384	3.86092245765628e-115	27.3721372317004	Up
RP11-230G5.2	6.82271982206871	6.21146582908158e-115	27.3378588503071	Up
LRP4	3.09501764592938	6.31603358032208e-115	27.3366300934858	Up
FUCA1	1.60785860855097	2.09592534529955e-114	27.2502966779355	Up
IGFL2	8.18899200588847	2.40070811636155e-114	27.2403478745055	Up
YWHAZP6	5.01107482078861	5.30940791414547e-114	27.1832057989191	Up
GJB3	4.62471025345628	5.32907550800677e-114	27.1829056204647	Up
