gene_symbol	logFC	adj.P.Val	t	regulation
RP11-441O15.3	-3.22648473502309	4.08852523822541e-204	-42.6591897509909	Down
AC137932.4	-2.97399570532517	8.47078492809696e-204	-42.6018364340724	Down
SLC26A6	-2.60806676907326	9.35521497609439e-204	-42.5934671684086	Down
RP11-264B17.3	-3.40604967997958	1.50696135361408e-203	-42.5557377940207	Down
AC007193.10	-7.61568898489498	1.85874930732129e-203	-42.5381627771165	Down
YEATS2-AS1	-3.48754359959043	1.88843536812572e-203	-42.5363106081131	Down
AC024560.3	-2.85006895161294	1.89450229323562e-203	-42.5354462745361	Down
ACAP3	-2.45719217229906	2.9934523710055e-203	-42.4992608971581	Down
RP11-588H23.3	-3.91639696620592	3.75597440192195e-203	-42.4810137826541	Down
PKDCC	-3.91323677675377	1.04396781066694e-202	-42.4005234195342	Down
RP11-972P1.7	-3.80214926395292	1.04396781066694e-202	-42.4003780119903	Down
RP3-402G11.28	-3.02645885816697	5.97566382995047e-202	-42.2643461849869	Down
LOC100421166	-7.33965365463405	6.98863318940936e-202	-42.2516127317788	Down
CRIPAK	-2.40247425755252	7.02703289796147e-202	-42.2506065890287	Down
RP11-849H4.4	-3.30987469918078	9.0316462206081e-202	-42.2305632176157	Down
TFPI	-3.30477192780343	1.38018442901872e-201	-42.1971059587623	Down
PTOV1-AS2	-3.23645611239124	2.43730685491837e-201	-42.1524550969921	Down
ROBO3	-3.56032004608301	7.34945551809364e-201	-42.0663835711851	Down
LCAT	-3.03480982462882	7.59400436031162e-201	-42.0632896101745	Down
OVGP1	-2.75672966589866	1.06119071681914e-200	-42.0368253226652	Down
SRPX	-4.20583671915009	2.97119291225841e-200	-41.9565944983559	Down
RP13-516M14.8	-3.70442456477222	3.83495926517173e-200	-41.9363070158369	Down
RP11-540B6.6	-2.35559979518693	3.84652471789944e-200	-41.93544296285	Down
CELF6	-3.74037060931906	3.84652471789944e-200	-41.9349922936189	Down
CSRP3	-6.71217714413723	5.24597905278091e-200	-41.9104594754255	Down
PODN	-5.39158762800827	1.02987008122593e-199	-41.8577772412426	Down
GS1-124K5.11	-2.15511331285205	2.44258619072639e-199	-41.7905183904111	Down
DENND3	-2.40709039298518	2.72275234956046e-199	-41.7816073136179	Down
ADH1B	-7.80826957245276	3.26878235004449e-199	-41.7669708696255	Down
SLC25A25-AS1	-2.74269202508965	5.26169483647938e-199	-41.7296970555657	Down
KB-431C1.5	-3.37127440476195	1.08499777799291e-198	-41.6733264705546	Down
EEF1A1P7	5.71727313108044	1.08690135987103e-198	41.6726818859138	Up
MYH7	-7.00736874039948	1.16499372303481e-198	-41.666822169077	Down
ZDHHC11	-3.51978586192012	2.49627723683366e-198	-41.607534473803	Down
MMRN1	-5.11032076292891	2.77681290248557e-198	-41.5988225165868	Down
MAPKBP1	-2.3106008580091	3.71061716392288e-198	-41.5759751252098	Down
RP11-429A20.4	-8.19610035202258	7.85398494481159e-198	-41.5176907795204	Down
PEAR1	-3.40804096902206	9.70847821289389e-198	-41.5008691129693	Down
CTD-2587M2.1	-3.25749071300571	1.07939711158552e-197	-41.4922178486003	Down
TTC21A	-2.52510200332825	1.352466320943e-197	-41.4743626255695	Down
GPR17	-5.12175092805946	5.29596283871333e-197	-41.3687950178596	Down
PRCD	-3.31270727726579	5.3165469848997e-197	-41.3680200422474	Down
RP11-867G23.3	-3.04936203277013	5.54675845251503e-197	-41.3642847084437	Down
PAX8-AS1	-3.60039382101526	5.85485420314903e-197	-41.3596546351157	Down
RP11-496I9.1	-4.47690723886335	1.12382582767003e-196	-41.3090271467766	Down
STAG3L5P	-3.35034597414239	1.12703196866871e-196	-41.3083433449984	Down
DMPK	-2.83508735279062	1.1480244655739e-196	-41.306462110795	Down
FAM71F2	-3.31973462621614	1.2165753213756e-196	-41.3015426989354	Down
RP11-231C14.4	-3.22041243599595	1.50276341483742e-196	-41.284840502201	Down
RGMA	-3.43317393113165	1.80374419133904e-196	-41.2703505274895	Down
TMEM198B	-2.71626577060936	2.07358220207529e-196	-41.2591818497447	Down
KCNQ4	-2.49057635688688	2.13050136326079e-196	-41.2566519073252	Down
ADAT2	-2.63183399897597	2.15595458058036e-196	-41.2552933233575	Down
TTLL6	-6.66755792925284	2.94247286320024e-196	-41.2309446492019	Down
EEF1A1P12	3.67173259088588	6.7974545738998e-196	41.1661729264879	Up
RP11-216L13.19	-3.02065026881726	1.20542236908967e-195	-41.1217422785972	Down
CSPG4P10	-3.27877342549929	1.27387084375556e-195	-41.1170668324971	Down
MYL7	-8.42697332309268	2.26988858428165e-195	-41.072291972012	Down
NPIPB4	-3.30477345750133	2.61888378127877e-195	-41.0608866827905	Down
MCF2L	-2.30747198927369	2.63621122610374e-195	-41.0599531285756	Down
RP13-104F24.2	-2.76037342549927	2.73558409215799e-195	-41.0566886039603	Down
ACACB	-3.13578192524327	3.50392141937914e-195	-41.0372727814152	Down
MAPK8IP3	-2.91081121351771	4.20648634700712e-195	-41.0228328806245	Down
AGAP6	-2.68108351254484	7.18265215963166e-195	-40.9813787203608	Down
RP11-394O4.5	-4.35494592933955	9.7544945673112e-195	-40.9574960406069	Down
SPIN2A	-2.99684225550439	1.23648927681828e-194	-40.938904045354	Down
NFASC	-3.38766672427041	1.73853669580071e-194	-40.9123749169048	Down
FBXO17	-3.44411870199698	2.36469169983637e-194	-40.8883952040313	Down
DENND4B	-2.1566767089094	2.69532829983375e-194	-40.8779618136802	Down
TSSC2	-3.34994409882238	3.66782647002431e-194	-40.8539573283453	Down
PITPNM2	-2.43966894521253	4.51635927617106e-194	-40.8376162109213	Down
RTEL1-TNFRSF6B	-3.05181436251925	5.14891034380901e-194	-40.8271780673252	Down
ARMC12	-3.92332896185363	3.07440227126734e-193	-40.6900253128936	Down
CCDC39	-3.49024688940098	4.00060209433595e-193	-40.6694906941615	Down
LINC00894	-3.47902686251926	4.0501438815019e-193	-40.668156357055	Down
CTC-529I10.2	-2.61562139656942	1.17396313387706e-192	-40.5864133099444	Down
CTD-2574D22.4	-2.2737335573477	1.3064639039364e-192	-40.5778529579876	Down
RP4-800G7.2	-3.34178716717874	1.6887625173184e-192	-40.5578555881088	Down
DOT1L	-2.38532439836153	3.94492912336429e-192	-40.4926720142262	Down
AC018766.4	-2.71154693420383	4.65936217807039e-192	-40.4795813209346	Down
WASH5P	-2.84513313492068	4.72092192468954e-192	-40.4781985053817	Down
MYL2	-8.68998389656949	1.19781314187655e-191	-40.4067606073071	Down
RP11-43N16.4	-3.15103576548904	1.90023583986018e-191	-40.3711805483984	Down
RP5-1014D13.2	-2.0872075652842	2.46108713588622e-191	-40.3510817368688	Down
RP13-516M14.10	-4.34807478238613	3.42934784324777e-191	-40.3254117226397	Down
PLEKHH1	-3.43391995647727	4.45845675373608e-191	-40.3050343373467	Down
LINC00969	-2.72107608806968	4.72960954757741e-191	-40.3001648156664	Down
LINC00174	-2.65123580389149	1.20738317981897e-190	-40.2283824271737	Down
RP11-415J8.3	-3.32966201356892	1.55422483554602e-190	-40.2087824032966	Down
KCNIP2	-2.90678552227347	2.1592011714614e-190	-40.1833818505304	Down
GHRLOS	-3.1388186507937	3.45938811446032e-190	-40.1471335139053	Down
RP11-473M20.9	-3.16476598822329	3.57903418930608e-190	-40.144185338288	Down
ATAD3B	-2.38086443932415	3.90423647995351e-190	-40.1372071034275	Down
RP4-798A10.2	-2.53260172811063	4.95694336621025e-190	-40.1186809131217	Down
RP5-908M14.10	-3.09406622503843	5.13471300535313e-190	-40.1156446297897	Down
CTD-2270P14.1	-2.61236942524326	5.59485562200942e-190	-40.108760284531	Down
RP11-61I13.3	-3.94570424987205	7.60527570464212e-190	-40.0850494930661	Down
ABCC5	-2.46098216205841	1.1449524664706e-189	-40.0535781164114	Down
ANKZF1	-2.37631276241683	1.33026863284214e-189	-40.0418199592552	Down
UVSSA	-2.86267012928832	1.84239736625166e-189	-40.0167063314946	Down
ACTA2-AS1	-4.4289519457246	1.91078266310079e-189	-40.0135903109147	Down
NPIPB11	-3.14183599590379	2.10578843351025e-189	-40.0058583634312	Down
RP3-368A4.6	-2.8286993087558	2.21796417804286e-189	-40.0015707541261	Down
RP11-96D1.8	-4.23187249103949	2.67318422972162e-189	-39.9870385588499	Down
MROH7	-3.77951516257047	3.67672837836586e-189	-39.9624714520437	Down
RP11-33O4.2	-4.15691973886337	4.25778649601646e-189	-39.9509834514254	Down
RP11-451G4.2	-6.68844555811592	5.18794338973465e-189	-39.9356332785104	Down
MANEAL	2.5602931899642	5.47746600602141e-189	39.9311729895554	Up
AP001062.7	-2.1079820916539	7.22296885005597e-189	-39.90982403101	Down
CLMN	-2.90540448668719	7.8340271023261e-189	-39.9033237847261	Down
RP11-73M18.2	9.44598430619575	1.39788766106603e-188	39.8590142209279	Up
ADCY10P1	-3.63521588581674	2.90265427895273e-188	-39.8032165999755	Down
MAMDC4	-2.95932000768054	4.23935672642535e-188	-39.7741443559646	Down
RP3-508I15.21	-2.83563478622636	5.8823631256824e-188	-39.7489678222133	Down
ACTA1	-7.16750237455208	9.41096553476184e-188	-39.7130001644444	Down
RP11-423P10.2	-2.39228503584233	9.7614273839526e-188	-39.7099052016046	Down
B3GAT2	-3.14251706349212	1.20332845941295e-187	-39.6937173545321	Down
HCN3	-2.29984516129036	2.77208014818657e-187	-39.6301362076263	Down
HSD17B3	-4.75198300691252	2.89505713404611e-187	-39.6265288131448	Down
ZDHHC11B	-3.59389844005467	4.25747241830768e-187	-39.5969880663576	Down
CTC-524C5.2	-2.72745678443425	4.2823171131276e-187	-39.5962321825455	Down
LL0XNC01-7P3.1	-2.85799056579625	7.20961244637e-187	-39.5564573419717	Down
ZNF169	-2.7355007680492	7.2688958776402e-187	-39.5555247651337	Down
SPPL2B	-2.34123301331289	9.66659414002237e-187	-39.533624601189	Down
IRAK3	-2.82395133128525	1.10992424962129e-186	-39.5228500681551	Down
ASMTL-AS1	-3.70323864567338	1.13972618388345e-186	-39.5205354072023	Down
HOXB3	-3.24652837301593	1.61350043851436e-186	-39.4939106384158	Down
RP11-347C12.1	-3.70780427547368	2.70209953391355e-186	-39.4545786233089	Down
MEIS1	-3.03679337557609	3.75657233927979e-186	-39.4293435542225	Down
RP11-1391J7.1	-2.99262660650286	4.68536167194805e-186	-39.4123257408383	Down
ZNF767P	-2.31938686635948	5.72795858111374e-186	-39.3968258437796	Down
RP11-72I8.1	-3.38637227982596	6.26930115050363e-186	-39.3896947446203	Down
MAB21L1	-4.30359773425507	6.62068101952209e-186	-39.3852707270131	Down
CSNK2B-LY6G5B-1181	-3.21317318868412	7.02118168960405e-186	-39.3805304212625	Down
ADAM1A	-8.12651821556598	9.53930103738909e-186	-39.3570564710385	Down
