pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	pathway_name
KEGG_GALACTOSE_METABOLISM	0.363636363636364	0.83510269101667	0.0760356521608407	0.260822541974387	1.04933696794023	22	GALE,HK2,GLB1	KEGG	KEGG_GALACTOSE_METABOLISM
KEGG_GAP_JUNCTION	0.318847902981304	0.792811002007566	0.0212528345256173	-0.338416928698254	-1.0945553336594	76	ADCY4,ADCY3,PDGFRA,LPAR1,PDGFRB,ADCY5,ADCY6,ADCY2,TUBB1,HTR2B,MAPK7,ITPR1,TUBB4A,GUCY1A2,TUBA8,RAF1,SOS1,EGF,PRKCA,ADRB1,PRKX,TUBB8,PRKG1,PDGFD,PLCB3,HTR2A,TUBA3D,PLCB1	KEGG	KEGG_GAP_JUNCTION
KEGG_GLIOMA	0.90175474392981	1	0.00523091258082749	-0.230018431037337	-0.730007280296317	63	CALML5,PLCG1,PDGFRA,CALML6,PDGFRB,IGF1,SHC2,CAMK2G,MTOR,RAF1,SOS1,EGF,PRKCA,PLCG2,SHC1,CALML3,PIK3CD,PIK3R5,CAMK2B,PTEN,BRAF,PDGFA,PDGFB,PIK3R3,ARAF,CDK6	KEGG	KEGG_GLIOMA
KEGG_GLUTATHIONE_METABOLISM	0.0110161013964452	0.068206873271827	0.380730400722792	0.326487134855419	1.54584355484841	44	GGCT,GPX1,RRM2,ODC1,GPX4,GGT6,RRM1,IDH1,IDH2,GSTZ1,GSTO1,GSS,RRM2B,TXNDC12,GSTO2,GSR	KEGG	KEGG_GLUTATHIONE_METABOLISM
KEGG_GLYCEROLIPID_METABOLISM	0.047179702243657	0.192912560285175	0.0665002323311694	-0.456367262404197	-1.37375108668959	39	AGPAT4,CEL,DGKE,LIPF,DGKD,GLYCTK,DGKG,DGKQ,GPAT2,MGLL,DGKA,DGKH,DGKB,DGKI,DGKZ	KEGG	KEGG_GLYCEROLIPID_METABOLISM
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.130527599878012	0.444760710695447	0.0375966592079237	-0.384758948505086	-1.22752416142976	66	LCAT,PLA2G6,PLA2G4B,AGPAT4,JMJD7-PLA2G4B,DGKE,CHKA,PLA2G2A,DGKD,CHKB,PLD1,DGKG,PGS1,DGKQ,GPAT2,PLD2,PHOSPHO1,ACHE,PISD,DGKA,PTDSS2,DGKH,DGKB,PCYT1A,DGKI,DGKZ,LPGAT1,LPCAT3,PLA2G4A	KEGG	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.0634954799827809	0.253650053633887	0.057642075315137	-0.479191795313367	-1.37619623173633	28	AMT,AOC2,GLYCTK,CTH,AOC3,BHMT,CBS,ALAS2,GNMT,GLDC	KEGG	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.751538146021329	1	0.00871112733133854	-0.272071438276809	-0.851693023315786	54	ADH1B,ADH4,PCK1,ADH1C,ADH1A,ACSS2,ADH6,ACSS1,ALDOB,LDHAL6A,PFKL,ENO2,ENO3	KEGG	KEGG_GLYCOLYSIS_GLUCONEOGENESIS
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.970591487009397	1	0.00538256307128547	-0.20079204172449	-0.553099468059019	22	B3GAT2,CHSY3,DSE,CSGALNACT1,CHST7,CHST12,CHST3,CHSY1	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.605421357525413	1	0.0129488852931448	-0.330457241833998	-0.924838083054499	24	B3GAT2,NDST2,HS3ST2,HS3ST3B1,HS6ST3,EXTL2,HS3ST3A1,EXTL1,HS3ST1,HS6ST1	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.016973125884017	0.0975954738330976	0.297232921999731	0.488485595279295	1.74126110847363	15	CHST2,B3GNT7,B3GNT2,CHST6,FUT8,B4GAT1,B4GALT2,B4GALT4,B4GALT1	KEGG	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.545915492957747	0.999581925405655	0.0148831772766157	-0.359923657068535	-0.964724056089929	19	HYAL1,IDUA,GALNS,HS3ST3B1,SGSH,HS3ST3A1	KEGG	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.437057991513437	0.874115983026874	0.0562362053989718	0.282829925094484	1.00817865181461	15	ST6GALNAC5,GLB1,ST3GAL5,HEXB,B3GALT4	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.871318746303962	1	0.00862662599689426	-0.277217451934134	-0.684352251357453	13	A4GALT,GBGT1,B3GALT5,ST8SIA1	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.953020134228188	1	0.00567227678903145	-0.212178139281642	-0.589118667591015	23	B3GALT1,ABO,B3GNT4,B3GALT2,B3GALT5,ST8SIA1,ST3GAL4	KEGG	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.342786683107275	0.819126619373228	0.0853949304825912	0.256106224295079	1.06289473407055	25	PIGU,PIGP,PIGY,PIGM,PIGC,PIGT,PIGV,PIGK	KEGG	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.96702140100573	1	0.00660274096592022	-0.219577313745882	-0.551788279762191	14	GLYCTK,PGP,MTHFD2	KEGG	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
