collection	pathway	size	NES	pval	padj	abs_NES
Reactome	SRP-dependent cotranslational protein targeting to membrane	107	3.8445766282363	2.80386425923177e-31	8.19529467769742e-29	3.8445766282363
Reactome	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	93	3.82829569628868	3.11403389085414e-29	7.07923704520841e-27	3.82829569628868
Reactome	GTP hydrolysis and joining of the 60S ribosomal subunit	110	3.82322863076823	8.8432605156098e-32	3.61866220298753e-29	3.82322863076823
Reactome	CD22 mediated BCR regulation	65	3.77264180482492	4.23981643280763e-24	5.1027437773673e-22	3.77264180482492
Reactome	Selenocysteine synthesis	90	3.74488073639027	4.37843273869731e-27	6.39876670241049e-25	3.74488073639027
Reactome	FCGR activation	82	3.73989389656116	9.90864914397902e-25	1.26706850928632e-22	3.73989389656116
Reactome	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA	94	3.69902667758273	3.89568762383989e-27	6.13121298336647e-25	3.69902667758273
Reactome	Response of EIF2AK4 (GCN2) to amino acid deficiency	98	3.65611670770848	1.90264451643114e-26	2.59520712041208e-24	3.65611670770848
Reactome	Cap-dependent Translation Initiation	117	3.53968947925589	2.56001823230217e-27	4.36483108607521e-25	3.53968947925589
Reactome	Eukaryotic Translation Initiation	117	3.53968947925589	2.56001823230217e-27	4.36483108607521e-25	3.53968947925589
Reactome	Role of LAT2/NTAL/LAB on calcium mobilization	83	3.4353621870842	8.75537877550639e-20	8.14250226122095e-18	3.4353621870842
Reactome	IFIT antiviral response	60	3.34124400897932	7.74390061727882e-16	4.80121838271287e-14	3.34124400897932
Reactome	Formation of the ternary complex, and subsequently, the 43S complex	51	3.2399727808205	3.84483082852777e-13	1.87298187503996e-11	3.2399727808205
Reactome	Classical antibody-mediated complement activation	76	3.22760818654037	7.76753007863404e-17	5.12656985189847e-15	3.22760818654037
Reactome	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	113	3.22453357369911	2.36955716586343e-21	2.42405698067829e-19	3.22453357369911
Reactome	Nonsense-Mediated Decay (NMD)	113	3.22453357369911	2.36955716586343e-21	2.42405698067829e-19	3.22453357369911
Reactome	Translation initiation complex formation	58	3.18406701786674	2.91856439964231e-14	1.57182087437143e-12	3.18406701786674
Reactome	Ribosome-associated quality control	138	3.16247259363616	5.03209541018057e-24	5.71981511623858e-22	3.16247259363616
Reactome	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	59	3.14539238812537	1.45843787199102e-13	7.45990971523408e-12	3.14539238812537
Reactome	SARS-CoV-1 modulates host translation machinery	36	3.12036339144639	1.94296773945558e-10	7.64483075947331e-09	3.12036339144639
Reactome	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	97	3.09388428511853	9.00511022841659e-18	6.58016268833583e-16	3.09388428511853
Reactome	Ribosomal scanning and start codon recognition	58	3.03143380663698	8.79643832098617e-13	3.99944728994171e-11	3.03143380663698
Reactome	Selenoamino acid metabolism	106	3.02043801209002	1.54924246883083e-18	1.32072920467828e-16	3.02043801209002
Reactome	Regulation of actin dynamics for phagocytic cup formation	130	2.97235122231092	4.06659391036468e-20	3.96202435266959e-18	2.97235122231092
Reactome	Proteasome assembly	49	2.89471890827488	1.34662631076075e-10	5.510394863633e-09	2.89471890827488
Reactome	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	90	2.8723767292531	9.10471013356038e-15	5.47889321566604e-13	2.8723767292531
Reactome	Mitochondrial ribosome-associated quality control	88	2.86271837163408	2.91931540694595e-14	1.57182087437143e-12	2.86271837163408
Reactome	Antigen processing: Ub, ATP-independent proteasomal degradation	19	2.83867329331148	6.03846019762039e-07	1.56388475497865e-05	2.83867329331148
Reactome	Cross-presentation of soluble exogenous antigens (endosomes)	40	2.82459759352383	3.00969204794713e-09	1.06169481553445e-07	2.82459759352383
Reactome	FCGR3A-mediated phagocytosis	128	2.82005711665044	7.32826910909867e-18	5.55319948045032e-16	2.82005711665044
Reactome	Leishmania phagocytosis	128	2.82005711665044	7.32826910909867e-18	5.55319948045032e-16	2.82005711665044
Reactome	Parasite infection	128	2.82005711665044	7.32826910909867e-18	5.55319948045032e-16	2.82005711665044
Reactome	SARS-CoV-2 modulates host translation machinery	49	2.80465823434656	6.76152537313423e-10	2.56186683582086e-08	2.80465823434656
Reactome	Phosphorylation of CD3 and TCR zeta chains	26	2.79367496113927	3.11834987293943e-07	8.50685845337875e-06	2.79367496113927
Reactome	Regulation of expression of SLITs and ROBOs	150	2.76762740265593	3.1130802275797e-19	2.76928788940351e-17	2.76762740265593
Reactome	Ubiquitin-dependent degradation of Cyclin D	38	2.76409276604022	1.35044437336919e-08	4.31720185611463e-07	2.76409276604022
Reactome	SPOP-mediated proteasomal degradation of PD-L1(CD274)	45	2.75754032261483	5.56212969601988e-09	1.86559300951749e-07	2.75754032261483
Reactome	Role of phospholipids in phagocytosis	93	2.67410202380573	1.92162805950973e-13	9.58939270672416e-12	2.67410202380573
Reactome	FCERI mediated MAPK activation	99	2.66933149689574	4.47789650281303e-13	2.13064563831523e-11	2.66933149689574
Reactome	Translocation of ZAP-70 to Immunological synapse	23	2.66011722410236	1.69179048694133e-06	3.88921723177747e-05	2.66011722410236
Reactome	Influenza Viral RNA Transcription and Replication	132	2.65545000096051	2.03115307759348e-17	1.43301351612285e-15	2.65545000096051
