baseMean	logFC	lfcSE	stat	P.Value	adj.P.Val	gene_symbol	method	regulation	rank
72675.2221161676	2.93900285062925	0.0537289896415307	54.7005047040286	0	0	MANEAL	DESeq2	Up	161
39806.6361820382	2.99987414447823	0.0672693821533919	44.5949412414362	0	0	RP11-334L9.1	DESeq2	Up	162
71558.7679271349	5.42080339627115	0.123269151621239	43.9753443986319	0	0	HPCAL4	DESeq2	Up	163
684073.70889525	1.22128306132702	0.0270205860177633	45.1982447946965	0	0	PPT1	DESeq2	Up	164
4569.56189647378	3.46187511815516	0.0703949537443841	49.1778875333281	0	0	RP1-228H13.1	DESeq2	Up	165
13842.3226979786	2.2620692155273	0.0568463435204599	39.7926951047107	0	0	RP1-228H13.5	DESeq2	Up	166
6842.04165366502	-2.1411160836952	0.0520310834666996	-41.1507110949464	0	0	KCNQ4	DESeq2	Down	167
94113.9490782999	2.66223909396163	0.0612512935852978	43.464210110995	0	0	TMSB4XP1	DESeq2	Up	168
1046.97354509356	-3.19664577469054	0.0805002546108823	-39.7097598031498	0	0	MIR6734	DESeq2	Down	169
36465.2562265655	-1.07919528114079	0.0253049330645066	-42.6476244133795	0	0	SZT2-AS1	DESeq2	Down	170
743210.200427102	-0.973212768687189	0.0235085936102808	-41.3981705933094	0	0	SZT2	DESeq2	NS	171
2136.46007493808	-2.7136948196201	0.063068605113615	-43.0276651074098	0	0	SNORD38A	DESeq2	Down	172
19298.3339114723	-2.87987648307126	0.0609671268439427	-47.2365458592608	0	0	CCDC17	DESeq2	Down	173
136038.020719337	0.799530532088182	0.0172544927840113	46.3375273962883	0	0	TMEM69	DESeq2	NS	174
4553.10643882046	4.32640523065264	0.0915545597820476	47.2549400155707	0	0	RP11-630I5.1	DESeq2	Up	175
15296.6041642	-2.86173327263175	0.0685384386096744	-41.7536980807118	0	0	FAAHP1	DESeq2	Down	176
9613.2160293821	-1.37305090133948	0.0312275148975192	-43.9692657531502	0	0	MKNK1-AS1	DESeq2	Down	177
160071.407872649	-1.18741421990094	0.0257282848125772	-46.15209403001	0	0	MKNK1	DESeq2	Down	178
201687.258963284	5.60945726281	0.144978237228155	38.6917193232408	0	0	PDZK1IP1	DESeq2	Up	179
9036.24179860936	-3.03060474262042	0.0778630393772348	-38.9222507477212	0	0	RP1-18D14.7	DESeq2	Down	180
5987.56512171978	-3.04461352347135	0.0778251922776905	-39.1211821566437	0	0	RP5-1024N4.4	DESeq2	Down	181
9904.32767829186	-2.95821571888622	0.0742815590399423	-39.8243622928746	0	0	SLC5A9	DESeq2	Down	182
328279.369566998	0.907168097661854	0.0209388708275305	43.3245949666544	0	0	FAF1	DESeq2	NS	183
57542.6337520697	3.21678449262843	0.0454281591446951	70.8103641704372	0	0	RP11-296A18.5	DESeq2	Up	184
203292.002378415	0.816721087678992	0.0170108792023779	48.0116916922687	0	0	BTF3L4	DESeq2	NS	185
275990.812955884	1.50823600051531	0.0320716426503039	47.027089225223	0	0	RPS13P2	DESeq2	Up	186
1077763.53717345	-1.74225696897549	0.0374734094947264	-46.4931532109636	0	0	ECHDC2	DESeq2	Down	187
351426.424940955	-4.26259763743009	0.104840219519745	-40.6580380788624	0	0	PODN	DESeq2	Down	188
4616.50901198467	-2.44941433707918	0.0605910313653788	-40.4253613428134	0	0	RP4-758J24.6	DESeq2	Down	189
1773862.91956885	0.924655391841712	0.020659043660764	44.7578991082647	0	0	TMEM59	DESeq2	NS	190
3672.45954682821	-2.52739645195854	0.0639380515618909	-39.5288312705629	0	0	SSBP3-AS1	DESeq2	Down	191
200727.356219503	-3.11242706913452	0.0799985220850877	-38.9060571122064	0	0	MROH7	DESeq2	Down	192
305109.303135778	-1.73810014148868	0.0352633162767891	-49.2891856184474	0	0	MROH7-TTC4	DESeq2	Down	193
1536408.02698189	5.65858139378306	0.124530896390985	45.43917660415	0	0	TACSTD2	DESeq2	Up	194
233489.177819008	-1.58074369610381	0.0374059828141225	-42.2591141090671	0	0	MYSM1	DESeq2	Down	195
1013171.74135447	0.68717697777142	0.0161398848478963	42.5763246917459	0	0	SERBP1	DESeq2	NS	196
30614.0240037585	1.55598109749949	0.0364227112983923	42.7200788198372	0	0	RPS7P4	DESeq2	Up	197
1273135.77235715	-1.38418720397264	0.0315687547533646	-43.8467470379115	0	0	SRSF11	DESeq2	Down	198
6083.69845051617	2.26596082394444	0.0500098496193363	45.3102906965813	0	0	RP11-363H12.1	DESeq2	Up	199
7021.63207659936	1.49002581766425	0.0368915272929951	40.3893773719467	0	0	RP4-641G12.4	DESeq2	Up	200
2270.21336872601	6.638060153745	0.171734379297333	38.6530651632202	0	0	HNRNPA1P64	DESeq2	Up	201
7427.50170496501	1.45155016847691	0.036046820884293	40.2684656473937	0	0	RP11-82H13.2	DESeq2	Up	202
511921.32263975	1.85321010564391	0.0342747998900309	54.0691736083026	0	0	DDAH1	DESeq2	Up	203
1131676.69925511	1.04270394692352	0.0223466441187161	46.660426567147	0	0	SELENOF	DESeq2	Up	204
250725.176369513	1.30398265975165	0.0298598146461395	43.6701525178502	0	0	HS2ST1	DESeq2	Up	205
189181.578358423	-1.94998643321086	0.0493167048560024	-39.54007955123	0	0	TGFBR3	DESeq2	Down	206
1276.22483625597	-2.63704738928271	0.0675478259614183	-39.0397078181158	0	0	SNORA66	DESeq2	Down	207
1392169.90971569	3.80038652656303	0.0292457145555249	129.946783120916	0	0	EEF1A1P11	DESeq2	Up	208
198896.486994548	1.58671102925285	0.0396382834301742	40.0297614312174	0	0	RPSAP19	DESeq2	Up	209
344013.166528376	-2.35480217090423	0.0504115859657642	-46.7115272370807	0	0	RNPC3	DESeq2	Down	210
382234.698528763	-2.41938631574166	0.0607739369140645	-39.8096032376958	0	0	AMY2B	DESeq2	Down	211
1408.61391598939	3.3641233591922	0.0827710138990981	40.6437374718308	0	0	RP11-90H3.2	DESeq2	Up	212
16346.6164415038	5.45156082052549	0.0665841268094382	81.874781299268	0	0	RP11-20O24.1	DESeq2	Up	213
325957.234241321	1.02586881407973	0.0262099228776845	39.1404743488646	0	0	PSMA5	DESeq2	Up	214
92765.3460760126	-1.69611264412084	0.035715331979572	-47.4897628024559	0	0	ATXN7L2	DESeq2	Down	215
50821.0328439847	0.851287043628004	0.0217013193749847	39.2274326237183	0	0	LAMTOR5-AS1	DESeq2	NS	216
2728.18451346359	2.27684712602938	0.0579175491022418	39.311869395752	0	0	NRBF2P3	DESeq2	Up	217
12137.9533832762	-2.32221685007178	0.0527338438514724	-44.0365556626675	0	0	OVGP1	DESeq2	Down	218
29333.3205728526	-1.27896079383343	0.0328995393554531	-38.8747325613069	0	0	AP4B1-AS1	DESeq2	Down	219
4067.45795715241	-1.6232159877617	0.0356468742206944	-45.5359978468846	0	0	SNORA40	DESeq2	Down	220
33778.4475851642	-1.06622348984319	0.0257492362256426	-41.4079656771093	0	0	RP11-418J17.1	DESeq2	Down	221
296464.27657964	-1.91723788683498	0.0443653046515083	-43.2148026908635	0	0	NBPF8	DESeq2	Down	222
5486.26033529329	5.08771768793241	0.0933854900242466	54.4808158806195	0	0	PPIAL4A	DESeq2	Up	223
215134.068457658	-1.51149973067845	0.0339271450971713	-44.5513386507865	0	0	NBPF15	DESeq2	Down	224
269003.99137522	-1.37031325769481	0.0322209387359933	-42.5286571853994	0	0	NBPF9	DESeq2	Down	225
350484.567833756	1.1015149222908	0.0252577477963109	43.6109716184469	0	0	ANP32E	DESeq2	Up	226
1066359.30995075	0.928952198130079	0.0206356008060771	45.0169688229531	0	0	APH1A	DESeq2	NS	227
304267.579657234	-1.48814650955566	0.024334249588214	-61.1544031452865	0	0	PRPF3	DESeq2	Down	228
191279.258979177	0.998800212556892	0.0255451371984146	39.0994264309091	0	0	GOLPH3L	DESeq2	NS	229
518573.86114424	2.74501010269394	0.066522873956254	41.2641538081936	0	0	CTSS	DESeq2	Up	230
125032.96314531	-1.1260846873681	0.0286275488754233	-39.3357004565224	0	0	GABPB2	DESeq2	Down	231
196303.781087381	0.783461163314091	0.018951475403136	41.340378342493	0	0	VPS72	DESeq2	NS	232
7446.41777741022	1.80443827420206	0.0390465216678475	46.212522834983	0	0	HMGN3P1	DESeq2	Up	233
1507297.49640852	3.09121671360267	0.0700187804933396	44.1483940711695	0	0	S100A1	DESeq2	Up	234
583449.73915774	2.67167418219265	0.0628931121392824	42.4795989785971	0	0	RP1-178F15.4	DESeq2	Up	235
151254.249273895	-2.30314581613587	0.0567166496257904	-40.6079313804985	0	0	NPR1	DESeq2	Down	236
326908.217255199	-1.34510270098281	0.0248297606477451	-54.1730031177307	0	0	DENND4B	DESeq2	Down	237
903034.368233	1.03855043958881	0.024641133071288	42.1470245132085	0	0	C1orf43	DESeq2	Up	238
