logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_symbol	method	regulation	rank
0.872047764237434	0.632848931554362	9.26931239815978	1.77064049119536e-19	2.99816474523129e-19	32.4655740138867	CCR6	limma-voom	NS	23447
-1.3258610595335	-3.68885814496619	-9.26807727665546	1.78921366705938e-19	3.02948486052506e-19	33.1153801028724	CTD-3076O17.2	limma-voom	Down	23448
1.04209953796925	6.03259803187922	9.26806129081456	1.78945531458768e-19	3.02976480445904e-19	31.7512560538304	S100A4	limma-voom	Up	23449
1.32567708206892	-3.32834743185633	9.26718781327113	1.80270833791705e-19	3.05207362183296e-19	33.1765065181196	HCG20	limma-voom	Up	23450
-0.548727007910711	-2.15370637255068	-9.26689948338339	1.8071043810358e-19	3.05938587420082e-19	32.8586740687276	LCMT1-AS1	limma-voom	NS	23451
-1.8053625138135	-3.29815496578908	-9.26622907528462	1.81736687793302e-19	3.07662884989325e-19	33.0224451107974	AC024560.2	limma-voom	Down	23452
-0.725739298851495	-0.154292240765146	-9.26531752211357	1.83141340368366e-19	3.10022127318475e-19	32.4809247829496	CCDC184	limma-voom	NS	23453
-2.21132109806542	-10.4953667044514	-9.26531456704781	1.83145911393066e-19	3.10022127318475e-19	33.4493347961958	MIR6512	limma-voom	Down	23454
0.368741405218893	5.65384043975098	9.26471442858434	1.84076576392198e-19	3.11584235170456e-19	31.7277239974939	NME4	limma-voom	NS	23455
-1.54509220429441	-2.72550134972576	-9.26385996449276	1.85409720914167e-19	3.13827453092354e-19	32.9042718142216	SNORD116-21	limma-voom	Down	23456
0.188358810074477	5.01687181179663	9.26360403222265	1.8581088643584e-19	3.14493064470124e-19	31.7557249361268	REPS1	limma-voom	NS	23457
-2.42495209327831	-10.0481707878054	-9.26302772894564	1.86717371946162e-19	3.16013858854401e-19	33.4289958846365	DLGAP2-AS1	limma-voom	Down	23458
-2.61177403383995	-10.2153293432734	-9.2628405974302	1.87012657553491e-19	3.1650012916956e-19	33.4276376832259	RP11-1167A19.6	limma-voom	Down	23459
-2.19661114164285	-6.32875283693159	-9.26167011879156	1.88870141200769e-19	3.19630108523143e-19	33.3375911358549	LINC02091	limma-voom	Down	23460
0.282540019229752	4.41832087515381	9.26097064360098	1.89988875722389e-19	3.21509668979595e-19	31.7954802955407	YBX1P10	limma-voom	NS	23461
0.920309038631387	6.57487015799602	9.2605938420455	1.90594245168701e-19	3.22520361507449e-19	31.6655699618353	TSPAN1	limma-voom	NS	23462
-2.26802392357284	-6.30370040369489	-9.26015518318196	1.91301400537281e-19	3.23703200960283e-19	33.3205701845611	RP11-255P5.2	limma-voom	Down	23463
-2.50199944699653	-8.34667847956331	-9.25998835304518	1.91571026160257e-19	3.24145622255989e-19	33.3891208746048	RP11-454K7.1	limma-voom	Down	23464
-2.87997994918102	-8.51503196039238	-9.25904210462635	1.93107456966709e-19	3.2673139810323e-19	33.3808113630369	IL2	limma-voom	Down	23465
