logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_symbol	method	regulation	rank
1.20490029441886	-1.40269220945083	7.50355320635959	1.68891004610191e-13	2.81279544174393e-13	18.8888576287279	RP11-234K24.6	limma	Up	15618
1.00816615463391	0.313877905491699	7.50330347139852	1.69191586445401e-13	2.81762107371236e-13	18.8871083055951	ENTPD2	limma	Up	15619
1.23218717997954	-0.199645083014049	7.5032342513613	1.69274993083165e-13	2.8188296063292e-13	18.8866234476336	SHISA6	limma	Up	15620
1.95217919866874	-4.80394495530013	7.50227302008975	1.70437420290028e-13	2.83800508236599e-13	18.8798908172346	RP11-1012A1.4	limma	Up	15621
-1.4988567012289	-2.80813831417625	-7.50170892514068	1.71123241387065e-13	2.84924249885991e-13	18.875940146194	EEF1DP4	limma	Down	15622
0.444520679723508	-0.451750957854406	7.50010529854258	1.73087788269955e-13	2.88176820117122e-13	18.8647104611271	ZNF681	limma	NS	15623
0.539066045826942	1.85744776500639	7.50009401101733	1.73101694606186e-13	2.88181527035427e-13	18.8646314255592	TRIL	limma	NS	15624
-0.381577912186386	3.9067687100894	-7.49891705625727	1.74557766217588e-13	2.90587011653483e-13	18.8563909206513	RAB35	limma	NS	15625
-0.397351843317978	3.21588275862069	-7.49869764422845	1.74830542415374e-13	2.91022477842461e-13	18.8548548207058	MTMR1	limma	NS	15626
0.395378059395807	3.44281736909323	7.49811042245926	1.75562650948346e-13	2.92222442811636e-13	18.85074388239	YEATS4	limma	NS	15627
-0.396067953149007	1.64628659003831	-7.49570262715104	1.78596214270765e-13	2.97252759751528e-13	18.8338906480216	FMO4	limma	NS	15628
-0.543699935995912	2.82334763729247	-7.49460702352655	1.79993581696636e-13	2.9955934823157e-13	18.8262235808821	BLOC1S5-TXNDC5	limma	NS	15629
2.20662713133645	-5.30030574712644	7.4936444118378	1.81230205211776e-13	3.01598136133302e-13	18.8194879963731	TRAV26-1	limma	Up	15630
-0.859690649001549	0.857439846743295	-7.49317032297098	1.81842315604342e-13	3.02597432741638e-13	18.8161709781432	RP1-122P22.2	limma	NS	15631
