sample	condition	source
GTEX-Y5LM-0626-SM-4V6G4	Normal	GTEx
GTEX-11TUW-0226-SM-5LU8X	Normal	GTEx
GTEX-145MH-0426-SM-5LU8T	Normal	GTEx
GTEX-11VI4-0226-SM-5GU6C	Normal	GTEx
GTEX-OOBJ-2626-SM-2I3F6	Normal	GTEx
GTEX-13RTK-0326-SM-5RQHS	Normal	GTEx
GTEX-13D11-0226-SM-5LZXL	Normal	GTEx
GTEX-S341-0226-SM-5S2VG	Normal	GTEx
GTEX-PWCY-2326-SM-2I3EQ	Normal	GTEx
GTEX-12ZZX-1226-SM-5EGHS	Normal	GTEx
GTEX-11ZTT-1026-SM-5EQKF	Normal	GTEx
GTEX-139UW-0126-SM-5KM1B	Normal	GTEx
GTEX-TKQ1-0126-SM-33HB3	Normal	GTEx
GTEX-WK11-0926-SM-3NMAU	Normal	GTEx
GTEX-11P7K-0226-SM-5986Z	Normal	GTEx
GTEX-OXRK-0626-SM-2HMJ5	Normal	GTEx
GTEX-Q2AG-0826-SM-2HMKF	Normal	GTEx
GTEX-ZT9X-0226-SM-51MT2	Normal	GTEx
GTEX-PWOO-0926-SM-2I3EC	Normal	GTEx
GTEX-WI4N-0926-SM-3LK7K	Normal	GTEx
GTEX-11I78-0526-SM-5986A	Normal	GTEx
GTEX-ZGAY-1026-SM-4WWBR	Normal	GTEx
GTEX-1497J-0126-SM-5Q5BK	Normal	GTEx
GTEX-131XF-1826-SM-5EGKG	Normal	GTEx
GTEX-131XE-0126-SM-5LZVC	Normal	GTEx
GTEX-146FQ-0726-SM-5LUA7	Normal	GTEx
GTEX-ZYY3-1926-SM-5GZXS	Normal	GTEx
GTEX-OIZH-2626-SM-2HMJM	Normal	GTEx
GTEX-TSE9-0626-SM-3DB8B	Normal	GTEx
GTEX-ZA64-0426-SM-5HL96	Normal	GTEx
GTEX-1122O-0226-SM-5N9DA	Normal	GTEx
GTEX-12WSG-0226-SM-5EGIF	Normal	GTEx
GTEX-12ZZZ-1226-SM-59HK1	Normal	GTEx
GTEX-13OVG-0226-SM-5LU93	Normal	GTEx
GTEX-NFK9-0726-SM-2HMJW	Normal	GTEx
GTEX-XV7Q-0326-SM-4BRVM	Normal	GTEx
GTEX-R3RS-0726-SM-3GIJR	Normal	GTEx
GTEX-W5X1-0426-SM-3GILB	Normal	GTEx
GTEX-11EI6-0726-SM-59866	Normal	GTEx
GTEX-RWS6-0626-SM-2XCAS	Normal	GTEx
GTEX-14ICL-0426-SM-5RQJ3	Normal	GTEx
GTEX-ZXG5-0926-SM-5NQ8H	Normal	GTEx
GTEX-SN8G-1526-SM-4DM79	Normal	GTEx
GTEX-14C38-0826-SM-5S2U8	Normal	GTEx
GTEX-ZT9W-0226-SM-4YCCZ	Normal	GTEx
GTEX-QXCU-0326-SM-2TC63	Normal	GTEx
GTEX-ZV6S-0226-SM-59HJT	Normal	GTEx
GTEX-14753-0926-SM-5Q5BI	Normal	GTEx
GTEX-P4QS-2626-SM-2I3EV	Normal	GTEx
GTEX-XBEW-0126-SM-4AT66	Normal	GTEx
GTEX-144GO-0126-SM-5LUAO	Normal	GTEx
GTEX-111FC-1026-SM-5GZX1	Normal	GTEx
GTEX-ZY6K-0226-SM-5SIAY	Normal	GTEx
GTEX-12WSL-0626-SM-5GCOY	Normal	GTEx
GTEX-13JVG-0926-SM-5IJE1	Normal	GTEx
GTEX-14A5H-0726-SM-5Q5DW	Normal	GTEx
GTEX-RN64-0626-SM-2TC5V	Normal	GTEx
GTEX-XXEK-1326-SM-4BRV1	Normal	GTEx
GTEX-XGQ4-0426-SM-4AT4I	Normal	GTEx
GTEX-YFCO-0326-SM-4W1ZP	Normal	GTEx
GTEX-13N2G-0726-SM-5MR38	Normal	GTEx
GTEX-WH7G-0526-SM-3NMBI	Normal	GTEx
GTEX-ZYW4-1126-SM-5SI99	Normal	GTEx
GTEX-XMK1-0626-SM-4B65A	Normal	GTEx
GTEX-13PL6-1026-SM-5L3E5	Normal	GTEx
GTEX-RTLS-0626-SM-2TF6G	Normal	GTEx
GTEX-13N11-1026-SM-5K7XQ	Normal	GTEx
GTEX-Y3I4-0226-SM-4TT27	Normal	GTEx
GTEX-Y9LG-0426-SM-4VBRT	Normal	GTEx
GTEX-Y114-0626-SM-4TT98	Normal	GTEx
GTEX-X5EB-0726-SM-46MVR	Normal	GTEx
GTEX-SJXC-0726-SM-2XCFJ	Normal	GTEx
GTEX-ZYT6-0426-SM-5GID3	Normal	GTEx
GTEX-P4PQ-2626-SM-5SI7K	Normal	GTEx
GTEX-Y5V5-0326-SM-5RQJG	Normal	GTEx
GTEX-1399R-0126-SM-5IFEV	Normal	GTEx
GTEX-S7SE-0726-SM-2XCD7	Normal	GTEx
GTEX-XUJ4-0726-SM-4BOOP	Normal	GTEx
GTEX-RNOR-0926-SM-2TF56	Normal	GTEx
GTEX-13113-0126-SM-5LZVX	Normal	GTEx
GTEX-WWYW-0826-SM-3NB2X	Normal	GTEx
GTEX-13NZ9-1126-SM-5MR37	Normal	GTEx
GTEX-WYBS-1926-SM-3NM8N	Normal	GTEx
GTEX-12WSH-0226-SM-5GCOG	Normal	GTEx
GTEX-11TTK-0826-SM-5N9EG	Normal	GTEx
GTEX-XUZC-0126-SM-4BOO6	Normal	GTEx
GTEX-POYW-0826-SM-2XCEM	Normal	GTEx
GTEX-XLM4-0726-SM-4AT64	Normal	GTEx
GTEX-131XG-0226-SM-5IFG1	Normal	GTEx
GTEX-WFG7-0326-SM-3GILI	Normal	GTEx
GTEX-R55E-0826-SM-2TC5M	Normal	GTEx
GTEX-XBED-0126-SM-47JY7	Normal	GTEx
GTEX-14E6C-2626-SM-5RQJP	Normal	GTEx
GTEX-11NSD-0126-SM-5987F	Normal	GTEx
GTEX-144FL-2326-SM-5LUAC	Normal	GTEx
GTEX-ZC5H-0626-SM-5LU9K	Normal	GTEx
GTEX-U4B1-0626-SM-3DB8L	Normal	GTEx
GTEX-13O3P-0726-SM-5J2OM	Normal	GTEx
GTEX-YB5E-0626-SM-4VDSE	Normal	GTEx
GTEX-ZVZP-1026-SM-5GICI	Normal	GTEx
