variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	KEGG	KEGG_AUTOIMMUNE_THYROID_DISEASE	1.90213672015354	0.00452139605148359	21	0	
tcga_matched	voom_qw	KEGG	KEGG_AXON_GUIDANCE	1.59157838869927	0.00468663647751095	34	0	
tcga_matched	voom_qw	KEGG	KEGG_BASAL_CELL_CARCINOMA	-1.26414793350493	0.237553499770612	13	0	
tcga_matched	voom_qw	KEGG	KEGG_BASAL_TRANSCRIPTION_FACTORS	-0.779799866663438	0.872580827097959	9	0	
tcga_matched	voom_qw	KEGG	KEGG_BASE_EXCISION_REPAIR	2.08780018067872	0.000757994100294866	20	0	
tcga_matched	voom_qw	KEGG	KEGG_BETA_ALANINE_METABOLISM	-1.43314293902339	0.15909658956522	7	0	
tcga_matched	voom_qw	KEGG	KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.57447253530408	0.0811026690044808	8	0	
tcga_matched	voom_qw	KEGG	KEGG_BLADDER_CANCER	1.6153947943924	0.0315087597849119	18	0	
tcga_matched	voom_qw	KEGG	KEGG_BUTANOATE_METABOLISM	-1.67389019575023	0.0302052858880902	16	0	
tcga_matched	voom_qw	KEGG	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.20762368200942	0.219190435701219	19	0	
tcga_matched	voom_qw	KEGG	KEGG_CALCIUM_SIGNALING_PATHWAY	-0.889340919807446	0.797884390964193	19	0	
tcga_matched	voom_qw	KEGG	KEGG_CARDIAC_MUSCLE_CONTRACTION	-0.966873918161375	0.635847682298971	7	0	
tcga_matched	voom_qw	KEGG	KEGG_CELL_ADHESION_MOLECULES_CAMS	1.75263709152077	0.000672790543621122	58	1	PECAM1
tcga_matched	voom_qw	KEGG	KEGG_CELL_CYCLE	2.21893724984324	3.60055745050493e-07	62	0	
tcga_matched	voom_qw	KEGG	KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.49452820443517	0.00833990439898963	53	0	
tcga_matched	voom_qw	KEGG	KEGG_CHRONIC_MYELOID_LEUKEMIA	2.16805657526797	2.04758582014842e-05	29	0	
tcga_matched	voom_qw	KEGG	KEGG_CIRCADIAN_RHYTHM_MAMMAL	1.39332590256239	0.183514496735762	5	0	
tcga_matched	voom_qw	KEGG	KEGG_CITRATE_CYCLE_TCA_CYCLE	-0.748838505248352	0.885055316370823	9	0	
tcga_matched	voom_qw	KEGG	KEGG_COLORECTAL_CANCER	1.33578800990259	0.112947698380449	10	0	
tcga_matched	voom_qw	KEGG	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-1.06646684400573	0.505238023171737	7	0	
tcga_matched	voom_qw	KEGG	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	-0.980684807022927	0.635847682298971	6	0	
tcga_matched	voom_qw	KEGG	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1.31759413543645	0.037285572331314	88	0	
tcga_matched	voom_qw	KEGG	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.688697190425034	0.970851762777959	10	0	
tcga_matched	voom_qw	KEGG	KEGG_DILATED_CARDIOMYOPATHY	1.00633532137248	0.575489643121772	22	0	
tcga_matched	voom_qw	KEGG	KEGG_DNA_REPLICATION	2.53804245565786	3.11482276351101e-06	19	0	
tcga_matched	voom_qw	KEGG	KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.779931089267945	0.859009251724618	6	0	
tcga_matched	voom_qw	KEGG	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	-1.78674166914423	0.013718064282571	13	0	
tcga_matched	voom_qw	KEGG	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1.30056046394752	0.219367475415863	8	0	
tcga_matched	voom_qw	KEGG	KEGG_ECM_RECEPTOR_INTERACTION	1.61838112266668	0.00833990439898963	40	2	COL1A1|COL3A1
tcga_matched	voom_qw	KEGG	KEGG_ENDOCYTOSIS	1.53781606621205	0.00559719442667765	68	0	
tcga_matched	voom_qw	KEGG	KEGG_ENDOMETRIAL_CANCER	1.47737491409903	0.0514160449361118	16	0	
tcga_matched	voom_qw	KEGG	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.75542591227168	0.00452139605148359	23	0	
tcga_matched	voom_qw	KEGG	KEGG_ERBB_SIGNALING_PATHWAY	1.45938559035656	0.0386752136752137	20	0	
tcga_matched	voom_qw	KEGG	KEGG_ETHER_LIPID_METABOLISM	0.965131649889631	0.635847682298971	6	0	
